image;answer1;answer2;answer3;comment
afghanistan.png;Afghanistan;Mexique;Rwanda;La couleur noire est la couleur associé au XIXe, lorsque le pays était indépendant. Le rouge symboliserait la lutte pour l'indépendance et le vert sa réussite finale.
afriquedusud.png;Afrique du Sud;Pakistan;Mozambique;Ce drapeau marque la fin de la symbolique blanche en Afrique du Sud et l'avènement d'une Afrique du Sud mélangée.
algerie.png;Algérie;Russie;Libye;Ce drapeau tire son origine des milieux nationalistes messalistes de la première moitié du XXe siècle.
allemagne.png;Allemagne;Bahreïn;Émirats Arabes Unis;Les couleurs du drapeau sont associées à la démocratie républicaine née après la Seconde Guerre mondiale, et représentent l'unité allemande et la liberté.
arabiesaoudite.png;Arabie saoudite;Angola;Lettonie;Le fond vert est la couleur de l'islam. Le drapeau porte, en blanc, un sabre (symbole de justice) et la chahada, la profession de foi musulmane.
argentine.png;Argentine;Australie;Uruguay;Il a été créé en 1812 par l'intellectuel devenu général Manuel Belgrano quand il regarda le soleil devant les côtes du Paraná, depuis la ville de Rosario.
australie.png;Australie;Sri Lanka;Paraguay;Dans le quart du dessous se trouve l'Étoile de la fédération, une étoile blanche à sept branches, six branches pour chacun des six États.
autriche.png;Autriche;Mozambique;Haïti;L'origine semble être l'utilisation comme bannière de la chemise ou de la tunique tachée de sang, et protégée par la ceinture, du duc de Babenberg lors d'une bataille contre les Maures.
belgique.png;Belgique;Turkménistan;Afghanistan;L'article 193 de la Constitution mentionne les couleurs : « La Nation belge adopte les couleurs rouge, jaune et noire, et pour armes le Lion du Royaume de Belgique ».
bielorussie.png;Biélorussie;Mauritanie;Costa Rica;La couleur rouge symbolise le sang versée par les défenseurs de la Biélorussie, et la couleur verte représente les forêts du pays.
bolivie.png;Bolivie;Portugal;Japon;Le rouge représente le sang perdu par les combattants protégeant le pays, le jaune pour la richesse minérale, le vert représente la richesse de l'environnement naturel.
bresil.png;Brésil;Turkménistan;État de Palestine;Le vert pour la forêt amazonienne, et le jaune (or) pour les ressources du sous-sol, le globe central avec au centre la Croix du Sud, symbole chrétien et symbole de l'hémisphère austral.
bulgarie.png;Bulgarie;Norvège;Turkménistan;Le blanc symbolise la paix, le vert la fertilité des terres bulgares et le rouge le courage du peuple.
camroun.png;Cameroun;Azerbaïdjan;Burundi;Le rouge symbolise le sang du peuple durant décolonisation. L'étoile jaune est « l'étoile de l'unité ». Le vert représente la forêt du Cameroun. Le jaune représente le soleil et la savane du pays.
canada.png;Canada;Ouganda;Burkina Faso;La feuille d'érable a servi de symbole célébrant la nature et l'environnement de ce qui est aujourd'hui le Canada depuis le XVIIIe siècle.
